Ano,Festival,Categoria,Título,Diretor,Premiado,Empate,Verificado
2026,cannes,Filme,Fjord,Cristian Mungiu,,N,S
2026,cannes,Grande Prêmio,Minotaur,Andrey Zvyagintsev,,N,S
2026,cannes,Prêmio do Júri,The Dreamed Adventure,Valeska Grisebach,,N,S
2026,cannes,Direção,La bola negra,Javier Calvo & Javier Ambrossi,,S,S
2026,cannes,Direção,Fatherland,Paweł Pawlikowski,,S,S
2026,cannes,Roteiro,A Man of His Time,,Emmanuel Marre,N,S
2026,cannes,Ator,Coward,,Emmanuel Macchia; Valentin Campagne,N,S
2026,cannes,Atriz,All of a Sudden,,Tao Okamoto; Virginie Efira,N,S
2025,cannes,Filme,It Was Just an Accident,Jafar Panahi,,N,S
2025,cannes,Grande Prêmio,Sentimental Value,Joachim Trier,,N,S
2025,cannes,Prêmio do Júri,Sirāt,Oliver Laxe,,S,S
2025,cannes,Prêmio do Júri,Sound of Falling,Mascha Schilinski,,S,S
2025,cannes,Direção,The Secret Agent,Kleber Mendonça Filho,,N,S
2025,cannes,Roteiro,Young Mothers,,Jean-Pierre & Luc Dardenne,N,S
2025,cannes,Ator,The Secret Agent,,Wagner Moura,N,S
2025,cannes,Atriz,The Little Sister,,Nadia Melliti,N,S
2024,cannes,Filme,Anora,Sean Baker,,N,S
2024,cannes,Grande Prêmio,All We Imagine as Light,Payal Kapadia,,N,S
2024,cannes,Prêmio do Júri,Emilia Pérez,Jacques Audiard,,N,S
2024,cannes,Direção,Grand Tour,Miguel Gomes,,N,S
2024,cannes,Roteiro,The Substance,,Coralie Fargeat,N,S
2024,cannes,Ator,Kinds of Kindness,,Jesse Plemons,N,S
2024,cannes,Atriz,Emilia Pérez,,Karla Sofía Gascón; Selena Gomez; Adriana Paz; Zoe Saldaña,N,S
2023,cannes,Filme,Anatomy of a Fall,Justine Triet,,N,S
2023,cannes,Grande Prêmio,The Zone of Interest,Jonathan Glazer,,N,S
2023,cannes,Prêmio do Júri,Fallen Leaves,Aki Kaurismäki,,N,S
2023,cannes,Direção,The Taste of Things,Tran Anh Hung,,N,S
2023,cannes,Roteiro,Monster,,Yuji Sakamoto,N,S
2023,cannes,Ator,Perfect Days,,Koji Yakusho,N,S
2023,cannes,Atriz,About Dry Grasses,,Merve Dizdar,N,S
2022,cannes,Filme,Triangle of Sadness,Ruben Östlund,,N,S
2022,cannes,Grande Prêmio,Close,Lukas Dhont,,S,S
2022,cannes,Grande Prêmio,Stars at Noon,Claire Denis,,S,S
2022,cannes,Prêmio do Júri,The Eight Mountains,Felix van Groeningen & Charlotte Vandermeersch,,S,S
2022,cannes,Prêmio do Júri,EO,Jerzy Skolimowski,,S,S
2022,cannes,Direção,Decision to Leave,Park Chan-wook,,N,S
2022,cannes,Roteiro,Boy from Heaven,,Tarik Saleh,N,S
2022,cannes,Ator,Broker,,Song Kang-ho,N,S
2022,cannes,Atriz,Holy Spider,,Zar Amir Ebrahimi,N,S
2021,cannes,Filme,Titane,Julia Ducournau,,N,S
2021,cannes,Grande Prêmio,Compartment No. 6,Juho Kuosmanen,,S,S
2021,cannes,Grande Prêmio,A Hero,Asghar Farhadi,,S,S
2021,cannes,Prêmio do Júri,Ahed's Knee,Nadav Lapid,,S,S
2021,cannes,Prêmio do Júri,Memoria,Apichatpong Weerasethakul,,S,S
2021,cannes,Direção,Annette,Leos Carax,,N,S
2021,cannes,Roteiro,Drive My Car,,Ryusuke Hamaguchi; Takamasa Oe,N,S
2021,cannes,Ator,Nitram,,Caleb Landry Jones,N,S
2021,cannes,Atriz,The Worst Person in the World,,Renate Reinsve,N,S
2019,cannes,Filme,Parasite,Bong Joon-ho,,N,S
2019,cannes,Grande Prêmio,Atlantics,Mati Diop,,N,S
2019,cannes,Prêmio do Júri,Bacurau,Kleber Mendonça Filho & Juliano Dornelles,,S,S
2019,cannes,Prêmio do Júri,Les Misérables,Ladj Ly,,S,S
2019,cannes,Direção,Young Ahmed,Jean-Pierre & Luc Dardenne,,N,S
