festival,categoria,ano_premio,titulo,diretor,premiado,empate,verificado
cannes,Ator,1951,The Browning Version,,Michael Redgrave,N,S
cannes,Ator,1952,Viva Zapata!,,Marlon Brando,N,P
cannes,Ator,1955,Bad Day at Black Rock,,Spencer Tracy,S,S
cannes,Ator,1955,A Big Family,,elenco masculino (A Big Family),S,S
cannes,Ator,1957,Valley of Peace,,John Kitzmiller,N,P
cannes,Ator,1958,The Long Hot Summer,,Paul Newman,N,P
cannes,Ator,1959,Compulsion,,Bradford Dillman; Dean Stockwell; Orson Welles,N,P
cannes,Ator,1961,Goodbye Again,,Anthony Perkins,N,S
cannes,Ator,1962,A Taste of Honey,,Murray Melvin,S,S
cannes,Ator,1962,Long Day's Journey into Night,,Ralph Richardson; Jason Robards; Dean Stockwell,S,S
cannes,Ator,1963,This Sporting Life,,Richard Harris,N,S
cannes,Ator,1964,Seduced and Abandoned,,Saro Urzì,S,S
cannes,Ator,1964,Skylark,,Antal Páger,S,S
cannes,Ator,1965,The Collector,,Terence Stamp,N,S
cannes,Ator,1966,Hunger,,Per Oscarsson,N,P
cannes,Ator,1967,Three Days and a Child,,Oded Kotler,N,P
cannes,Ator,1969,Z,,Jean-Louis Trintignant,N,S
cannes,Ator,1970,The Pizza Triangle,,Marcello Mastroianni,N,P
cannes,Ator,1971,Sacco & Vanzetti,,Riccardo Cucciolla,N,P
cannes,Ator,1972,We Won't Grow Old Together,,Jean Yanne,N,S
cannes,Ator,1973,Love and Anarchy,,Giancarlo Giannini,N,P
cannes,Ator,1974,The Last Detail,,Jack Nicholson,N,P
cannes,Ator,1975,Scent of a Woman,,Vittorio Gassman,N,S
cannes,Ator,1976,Pascual Duarte,,José Luis Gómez,N,S
cannes,Ator,1977,"Elisa, My Life",,Fernando Rey,N,S
cannes,Ator,1978,Coming Home,,Jon Voight,N,S
cannes,Ator,1979,The China Syndrome,,Jack Lemmon,N,S
cannes,Ator,1980,A Leap in the Dark,,Michel Piccoli,N,S
cannes,Ator,1981,Tragedy of a Ridiculous Man,,Ugo Tognazzi,N,S
cannes,Ator,1982,Missing,,Jack Lemmon,N,S
cannes,Ator,1983,The Death of Mario Ricci,,Gian Maria Volonté,N,S
cannes,Ator,1984,The Holy Innocents,,Alfredo Landa; Francisco Rabal,N,S
cannes,Ator,1985,Kiss of the Spider Woman,,William Hurt,N,S
cannes,Ator,1986,Ménage,,Michel Blanc,S,S
cannes,Ator,1986,Mona Lisa,,Bob Hoskins,S,S
cannes,Ator,1987,Dark Eyes,,Marcello Mastroianni,N,P
cannes,Ator,1988,Bird,,Forest Whitaker,N,S
cannes,Ator,1989,"Sex, Lies, and Videotape",,James Spader,N,P
cannes,Ator,1990,Cyrano de Bergerac,,Gérard Depardieu,N,S
cannes,Ator,1991,Barton Fink,,John Turturro,N,S
cannes,Ator,1992,The Player,,Tim Robbins,N,S
cannes,Ator,1993,Naked,,David Thewlis,N,P
cannes,Ator,1994,To Live,,Ge You,N,P
cannes,Ator,1995,Carrington,,Jonathan Pryce,N,S
cannes,Ator,1996,The Eighth Day,,Daniel Auteuil; Pascal Duquenne,N,S
cannes,Ator,1997,She's So Lovely,,Sean Penn,N,S
cannes,Ator,1998,My Name Is Joe,,Peter Mullan,N,P
cannes,Ator,1999,Humanité,,Emmanuel Schotté,N,P
cannes,Ator,2000,In the Mood for Love,,Tony Leung Chiu-wai,N,P
cannes,Ator,2001,The Piano Teacher,,Benoît Magimel,N,S
cannes,Ator,2002,The Son,,Olivier Gourmet,N,P
cannes,Ator,2003,Distant,,Muzaffer Özdemir; Mehmet Emin Toprak,N,P
cannes,Ator,2004,Nobody Knows,,Yūya Yagira,N,P
cannes,Ator,2005,The Three Burials of Melquiades Estrada,,Tommy Lee Jones,N,P
cannes,Ator,2006,Days of Glory,,elenco (Roschdy Zem et al.),N,S
cannes,Ator,2007,The Banishment,,Konstantin Lavronenko,N,P
cannes,Ator,2008,Che,,Benicio del Toro,N,S
cannes,Ator,2009,Inglourious Basterds,,Christoph Waltz,N,S
cannes,Ator,2010,Biutiful,,Javier Bardem,S,S
cannes,Ator,2010,La nostra vita,,Elio Germano,S,S
cannes,Ator,2011,The Artist,,Jean Dujardin,N,P
cannes,Ator,2012,The Hunt,,Mads Mikkelsen,N,P
cannes,Ator,2013,Nebraska,,Bruce Dern,N,S
cannes,Ator,2014,Mr. Turner,,Timothy Spall,N,S
cannes,Ator,2015,The Measure of a Man,,Vincent Lindon,N,P
cannes,Ator,2016,The Salesman,,Shahab Hosseini,N,S
cannes,Ator,2017,You Were Never Really Here,,Joaquin Phoenix,N,P
cannes,Ator,2018,Dogman,,Marcello Fonte,N,S
cannes,Ator,2019,Pain and Glory,,Antonio Banderas,N,P
cannes,Ator,2021,Nitram,,Caleb Landry Jones,N,P
cannes,Ator,2022,Broker,,Song Kang-ho,N,P
cannes,Ator,2023,Perfect Days,,Koji Yakusho,N,P
cannes,Ator,2024,Kinds of Kindness,,Jesse Plemons,N,S
cannes,Ator,2025,The Secret Agent,,Wagner Moura,N,S
cannes,Ator,2026,Coward,,Emmanuel Macchia; Valentin Campagne,N,S
