festival,categoria,ano_premio,titulo,diretor,premiado,empate,verificado
cannes,Atriz,1951,All About Eve,,Bette Davis,N,P
cannes,Atriz,1952,Detective Story,,Lee Grant,N,P
cannes,Atriz,1955,A Big Family,,elenco feminino (A Big Family),N,P
cannes,Atriz,1956,I'll Cry Tomorrow,,Susan Hayward,N,P
cannes,Atriz,1957,Nights of Cabiria,,Giulietta Masina,N,S
cannes,Atriz,1958,Brink of Life,,Bibi Andersson; Eva Dahlbeck; Barbro Hiort af Ornäs; Ingrid Thulin,N,S
cannes,Atriz,1959,Room at the Top,,Simone Signoret,N,S
cannes,Atriz,1960,Never on Sunday,,Melina Mercouri,S,S
cannes,Atriz,1960,Seven Days... Seven Nights,,Jeanne Moreau,S,S
cannes,Atriz,1961,Two Women,,Sophia Loren,N,S
cannes,Atriz,1962,Long Day's Journey into Night,,Katharine Hepburn,S,P
cannes,Atriz,1962,A Taste of Honey,,Rita Tushingham,S,P
cannes,Atriz,1963,The Conjugal Bed,,Marina Vlady,N,S
cannes,Atriz,1964,The Pumpkin Eater,,Anne Bancroft,S,S
cannes,Atriz,1964,"One Potato, Two Potato",,Barbara Barrie,S,S
cannes,Atriz,1965,The Collector,,Samantha Eggar,N,S
cannes,Atriz,1966,Morgan – A Suitable Case for Treatment,,Vanessa Redgrave,N,S
cannes,Atriz,1967,Elvira Madigan,,Pia Degermark,N,P
cannes,Atriz,1969,Isadora,,Vanessa Redgrave,N,S
cannes,Atriz,1970,Metello,,Ottavia Piccolo,N,P
cannes,Atriz,1971,The Panic in Needle Park,,Kitty Winn,N,S
cannes,Atriz,1972,Images,,Susannah York,N,P
cannes,Atriz,1973,The Effect of Gamma Rays on Man-in-the-Moon Marigolds,,Joanne Woodward,N,S
cannes,Atriz,1974,Violins at the Ball,,Marie-José Nat,N,S
cannes,Atriz,1975,Lenny,,Valérie Perrine,N,P
cannes,Atriz,1976,The Inheritance,,Dominique Sanda,S,S
cannes,Atriz,1976,Mrs. Dery Where Are You?,,Mari Törőcsik,S,S
cannes,Atriz,1977,3 Women,,Shelley Duvall,S,P
cannes,Atriz,1977,J.A. Martin Photographer,,Monique Mercure,S,P
cannes,Atriz,1978,An Unmarried Woman,,Jill Clayburgh,S,S
cannes,Atriz,1978,Violette Nozière,,Isabelle Huppert,S,S
cannes,Atriz,1979,Norma Rae,,Sally Field,N,P
cannes,Atriz,1980,A Leap in the Dark,,Anouk Aimée,N,S
cannes,Atriz,1981,Possession,,Isabelle Adjani,N,S
cannes,Atriz,1982,Another Way,,Jadwiga Jankowska-Cieślak,N,P
cannes,Atriz,1983,The Story of Piera,,Hanna Schygulla,N,S
cannes,Atriz,1984,Cal,,Helen Mirren,N,S
cannes,Atriz,1985,The Official Story,,Norma Aleandro,S,P
cannes,Atriz,1985,Mask,,Cher,S,P
cannes,Atriz,1986,Rosa Luxemburg,,Barbara Sukowa,S,P
cannes,Atriz,1986,Love Me Forever or Never,,Fernanda Torres,S,P
cannes,Atriz,1987,Shy People,,Barbara Hershey,N,S
cannes,Atriz,1988,A World Apart,,Barbara Hershey; Jodhi May; Linda Mvusi,N,S
cannes,Atriz,1989,A Cry in the Dark,,Meryl Streep,N,S
cannes,Atriz,1990,Interrogation,,Krystyna Janda,N,P
cannes,Atriz,1991,The Double Life of Veronique,,Irène Jacob,N,S
cannes,Atriz,1992,The Best Intentions,,Pernilla August,N,S
cannes,Atriz,1993,The Piano,,Holly Hunter,N,S
cannes,Atriz,1994,La Reine Margot,,Virna Lisi,N,S
cannes,Atriz,1995,The Madness of King George,,Helen Mirren,N,S
cannes,Atriz,1996,Secrets & Lies,,Brenda Blethyn,N,P
cannes,Atriz,1997,Nil by Mouth,,Kathy Burke,N,P
cannes,Atriz,1998,The Dreamlife of Angels,,Élodie Bouchez; Natacha Régnier,N,P
cannes,Atriz,1999,Humanité,,Séverine Caneele,S,P
cannes,Atriz,1999,Rosetta,,Émilie Dequenne,S,P
cannes,Atriz,2000,Dancer in the Dark,,Björk,N,P
cannes,Atriz,2001,The Piano Teacher,,Isabelle Huppert,N,S
cannes,Atriz,2002,The Man Without a Past,,Kati Outinen,N,S
cannes,Atriz,2003,The Barbarian Invasions,,Marie-Josée Croze,N,S
cannes,Atriz,2004,Clean,,Maggie Cheung,N,S
cannes,Atriz,2005,Free Zone,,Hanna Laslo,N,P
cannes,Atriz,2006,Volver,,Penélope Cruz; Carmen Maura; Lola Dueñas; Blanca Portillo; Yohana Cobo; Chus Lampreave,N,S
cannes,Atriz,2007,Secret Sunshine,,Jeon Do-yeon,N,S
cannes,Atriz,2008,Linha de Passe,,Sandra Corveloni,N,P
cannes,Atriz,2009,Antichrist,,Charlotte Gainsbourg,N,S
cannes,Atriz,2010,Certified Copy,,Juliette Binoche,N,S
cannes,Atriz,2011,Melancholia,,Kirsten Dunst,N,S
cannes,Atriz,2012,Beyond the Hills,,Cristina Flutur; Cosmina Stratan,N,P
cannes,Atriz,2013,The Past,,Bérénice Bejo,N,P
cannes,Atriz,2014,Maps to the Stars,,Julianne Moore,N,P
cannes,Atriz,2015,My King,,Emmanuelle Bercot,S,P
cannes,Atriz,2015,Carol,,Rooney Mara,S,P
cannes,Atriz,2016,Ma' Rosa,,Jaclyn Jose,N,P
cannes,Atriz,2017,In the Fade,,Diane Kruger,N,P
cannes,Atriz,2018,Ayka,,Samal Yeslyamova,N,P
cannes,Atriz,2019,Little Joe,,Emily Beecham,N,P
cannes,Atriz,2021,The Worst Person in the World,,Renate Reinsve,N,P
cannes,Atriz,2022,Holy Spider,,Zar Amir Ebrahimi,N,S
cannes,Atriz,2023,About Dry Grasses,,Merve Dizdar,N,S
cannes,Atriz,2024,Emilia Pérez,,Karla Sofía Gascón; Selena Gomez; Adriana Paz; Zoe Saldaña,N,S
cannes,Atriz,2025,The Little Sister,,Nadia Melliti,N,S
cannes,Atriz,2026,All of a Sudden,,Tao Okamoto; Virginie Efira,N,S
