festival,categoria,ano_premio,titulo,diretor,premiado,empate,verificado
cannes,Filme,1951,Miracle in Milan,Vittorio De Sica,,S,N
cannes,Filme,1951,Miss Julie,Alf Sjöberg,,S,N
cannes,Filme,1952,Othello,Orson Welles,,S,N
cannes,Filme,1952,Two Cents Worth of Hope,Renato Castellani,,S,N
cannes,Filme,1953,The Wages of Fear,Henri-Georges Clouzot,,N,N
cannes,Filme,1954,Gate of Hell,Teinosuke Kinugasa,,N,N
cannes,Filme,1955,Marty,Delbert Mann,,N,N
cannes,Filme,1956,The Silent World,Jacques Cousteau & Louis Malle,,N,N
cannes,Filme,1957,Friendly Persuasion,William Wyler,,N,N
cannes,Filme,1958,The Cranes Are Flying,Mikhail Kalatozov,,N,N
cannes,Filme,1959,Black Orpheus,Marcel Camus,,N,N
cannes,Filme,1960,La dolce vita,Federico Fellini,,N,N
cannes,Filme,1961,The Long Absence,Henri Colpi,,S,N
cannes,Filme,1961,Viridiana,Luis Buñuel,,S,N
cannes,Filme,1962,O Pagador de Promessas,Anselmo Duarte,,N,N
cannes,Filme,1963,The Leopard,Luchino Visconti,,N,N
cannes,Filme,1964,The Umbrellas of Cherbourg,Jacques Demy,,N,N
cannes,Filme,1965,The Knack ...and How to Get It,Richard Lester,,N,N
cannes,Filme,1966,The Birds the Bees and the Italians,Pietro Germi,,S,N
cannes,Filme,1966,A Man and a Woman,Claude Lelouch,,S,N
cannes,Filme,1967,Blow-up,Michelangelo Antonioni,,N,N
cannes,Filme,1969,If....,Lindsay Anderson,,N,N
cannes,Filme,1970,MASH,Robert Altman,,N,N
cannes,Filme,1971,The Go-Between,Joseph Losey,,N,N
cannes,Filme,1972,The Mattei Affair,Francesco Rosi,,S,N
cannes,Filme,1972,The Working Class Goes to Heaven,Elio Petri,,S,N
cannes,Filme,1973,The Hireling,Alan Bridges,,S,N
cannes,Filme,1973,Scarecrow,Jerry Schatzberg,,S,N
cannes,Filme,1974,The Conversation,Francis Ford Coppola,,N,N
cannes,Filme,1975,Chronicle of the Years of Fire,Mohammed Lakhdar-Hamina,,N,N
cannes,Filme,1976,Taxi Driver,Martin Scorsese,,N,N
cannes,Filme,1977,Padre Padrone,Paolo & Vittorio Taviani,,N,N
cannes,Filme,1978,The Tree of Wooden Clogs,Ermanno Olmi,,N,N
cannes,Filme,1979,Apocalypse Now,Francis Ford Coppola,,S,N
cannes,Filme,1979,The Tin Drum,Volker Schlöndorff,,S,N
cannes,Filme,1980,All That Jazz,Bob Fosse,,S,N
cannes,Filme,1980,Kagemusha,Akira Kurosawa,,S,N
cannes,Filme,1981,Man of Iron,Andrzej Wajda,,N,N
cannes,Filme,1982,Missing,Costa-Gavras,,S,N
cannes,Filme,1982,Yol,Yılmaz Güney & Şerif Gören,,S,N
cannes,Filme,1983,The Ballad of Narayama,Shōhei Imamura,,N,N
cannes,Filme,1984,Paris Texas,Wim Wenders,,N,N
cannes,Filme,1985,When Father Was Away on Business,Emir Kusturica,,N,N
cannes,Filme,1986,The Mission,Roland Joffé,,N,N
cannes,Filme,1987,Under the Sun of Satan,Maurice Pialat,,N,N
cannes,Filme,1988,Pelle the Conqueror,Bille August,,N,N
cannes,Filme,1989,"Sex, Lies, and Videotape",Steven Soderbergh,,N,N
cannes,Filme,1990,Wild at Heart,David Lynch,,N,N
cannes,Filme,1991,Barton Fink,Joel Coen,,N,N
cannes,Filme,1992,The Best Intentions,Bille August,,N,N
cannes,Filme,1993,Farewell My Concubine,Chen Kaige,,S,N
cannes,Filme,1993,The Piano,Jane Campion,,S,N
cannes,Filme,1994,Pulp Fiction,Quentin Tarantino,,N,N
cannes,Filme,1995,Underground,Emir Kusturica,,N,N
cannes,Filme,1996,Secrets & Lies,Mike Leigh,,N,N
cannes,Filme,1997,The Eel,Shōhei Imamura,,S,N
cannes,Filme,1997,Taste of Cherry,Abbas Kiarostami,,S,N
cannes,Filme,1998,Eternity and a Day,Theo Angelopoulos,,N,N
cannes,Filme,1999,Rosetta,Jean-Pierre & Luc Dardenne,,N,N
cannes,Filme,2000,Dancer in the Dark,Lars von Trier,,N,N
cannes,Filme,2001,The Son's Room,Nanni Moretti,,N,N
cannes,Filme,2002,The Pianist,Roman Polanski,,N,N
cannes,Filme,2003,Elephant,Gus Van Sant,,N,N
cannes,Filme,2004,Fahrenheit 9/11,Michael Moore,,N,N
