festival,categoria,ano_premio,titulo,diretor,premiado,empate,verificado
cannes,Grande Prêmio,1967,Accident,Joseph Losey,,S,N
cannes,Grande Prêmio,1967,I Even Met Happy Gypsies,Aleksandar Petrović,,S,N
cannes,Grande Prêmio,1969,Ådalen 31,Bo Widerberg,,N,N
cannes,Grande Prêmio,1970,Investigation of a Citizen Above Suspicion,Elio Petri,,N,N
cannes,Grande Prêmio,1971,Johnny Got His Gun,Dalton Trumbo,,S,N
cannes,Grande Prêmio,1971,Taking Off,Miloš Forman,,S,N
cannes,Grande Prêmio,1972,Solaris,Andrei Tarkovsky,,N,N
cannes,Grande Prêmio,1973,The Mother and the Whore,Jean Eustache,,N,N
cannes,Grande Prêmio,1974,Arabian Nights,Pier Paolo Pasolini,,N,N
cannes,Grande Prêmio,1975,The Enigma of Kaspar Hauser,Werner Herzog,,N,N
cannes,Grande Prêmio,1976,Cría Cuervos,Carlos Saura,,S,N
cannes,Grande Prêmio,1976,The Marquise of O,Éric Rohmer,,S,N
cannes,Grande Prêmio,1978,Bye Bye Monkey,Marco Ferreri,,S,N
cannes,Grande Prêmio,1978,The Shout,Jerzy Skolimowski,,S,N
cannes,Grande Prêmio,1979,Siberiade,Andrei Konchalovsky,,N,N
cannes,Grande Prêmio,1980,My American Uncle,Alain Resnais,,N,N
cannes,Grande Prêmio,1981,Light Years Away,Alain Tanner,,N,N
cannes,Grande Prêmio,1982,The Night of the Shooting Stars,Paolo & Vittorio Taviani,,N,N
cannes,Grande Prêmio,1983,Monty Python's The Meaning of Life,Terry Jones,,N,N
cannes,Grande Prêmio,1984,Diary for My Children,Márta Mészáros,,N,N
cannes,Grande Prêmio,1985,Birdy,Alan Parker,,N,N
cannes,Grande Prêmio,1986,The Sacrifice,Andrei Tarkovsky,,N,N
cannes,Grande Prêmio,1987,Repentance,Tengiz Abuladze,,N,N
cannes,Grande Prêmio,1988,A World Apart,Chris Menges,,N,N
cannes,Grande Prêmio,1989,Cinema Paradiso,Giuseppe Tornatore,,S,N
cannes,Grande Prêmio,1989,Too Beautiful for You,Bertrand Blier,,S,N
cannes,Grande Prêmio,1990,The Sting of Death,Kōhei Oguri,,S,N
cannes,Grande Prêmio,1990,Tilaï,Idrissa Ouedraogo,,S,N
cannes,Grande Prêmio,1991,La Belle Noiseuse,Jacques Rivette,,N,N
cannes,Grande Prêmio,1992,The Stolen Children,Gianni Amelio,,N,N
cannes,Grande Prêmio,1993,"Faraway, So Close!",Wim Wenders,,N,N
cannes,Grande Prêmio,1994,Burnt by the Sun,Nikita Mikhalkov,,S,N
cannes,Grande Prêmio,1994,To Live,Zhang Yimou,,S,N
cannes,Grande Prêmio,1995,Ulysses' Gaze,Theo Angelopoulos,,N,N
cannes,Grande Prêmio,1996,Breaking the Waves,Lars von Trier,,N,N
cannes,Grande Prêmio,1997,The Sweet Hereafter,Atom Egoyan,,N,N
cannes,Grande Prêmio,1998,Life Is Beautiful,Roberto Benigni,,N,N
cannes,Grande Prêmio,1999,Humanité,Bruno Dumont,,N,N
cannes,Grande Prêmio,2000,Devils on the Doorstep,Jiang Wen,,N,N
cannes,Grande Prêmio,2001,The Piano Teacher,Michael Haneke,,N,N
cannes,Grande Prêmio,2002,The Man Without a Past,Aki Kaurismäki,,N,N
cannes,Grande Prêmio,2003,Distant,Nuri Bilge Ceylan,,N,N
cannes,Grande Prêmio,2004,Oldboy,Park Chan-wook,,N,N
cannes,Grande Prêmio,2005,Broken Flowers,Jim Jarmusch,,N,N
cannes,Grande Prêmio,2006,Flanders,Bruno Dumont,,N,N
cannes,Grande Prêmio,2007,The Mourning Forest,Naomi Kawase,,N,N
cannes,Grande Prêmio,2008,Gomorrah,Matteo Garrone,,N,N
cannes,Grande Prêmio,2009,A Prophet,Jacques Audiard,,N,N
cannes,Grande Prêmio,2010,Of Gods and Men,Xavier Beauvois,,N,N
cannes,Grande Prêmio,2011,The Kid with a Bike,Jean-Pierre & Luc Dardenne,,S,N
cannes,Grande Prêmio,2011,Once Upon a Time in Anatolia,Nuri Bilge Ceylan,,S,N
cannes,Grande Prêmio,2012,Reality,Matteo Garrone,,N,N
cannes,Grande Prêmio,2013,Inside Llewyn Davis,Joel & Ethan Coen,,N,N
cannes,Grande Prêmio,2014,The Wonders,Alice Rohrwacher,,N,N
cannes,Grande Prêmio,2015,Son of Saul,László Nemes,,N,N
cannes,Grande Prêmio,2016,It's Only the End of the World,Xavier Dolan,,N,N
cannes,Grande Prêmio,2017,BPM (Beats per Minute),Robin Campillo,,N,N
cannes,Grande Prêmio,2018,BlacKkKlansman,Spike Lee,,N,N
cannes,Grande Prêmio,2019,Atlantics,Mati Diop,,N,N
cannes,Grande Prêmio,2021,Compartment No. 6,Juho Kuosmanen,,S,N
cannes,Grande Prêmio,2021,A Hero,Asghar Farhadi,,S,N
cannes,Grande Prêmio,2022,Close,Lukas Dhont,,S,N
cannes,Grande Prêmio,2022,Stars at Noon,Claire Denis,,S,N
cannes,Grande Prêmio,2023,The Zone of Interest,Jonathan Glazer,,N,N
cannes,Grande Prêmio,2024,All We Imagine as Light,Payal Kapadia,,N,N
cannes,Grande Prêmio,2025,Sentimental Value,Joachim Trier,,N,N
cannes,Grande Prêmio,2026,Minotaur,Andrey Zvyagintsev,,N,N
