festival,categoria,ano_premio,titulo,diretor,premiado,empate,verificado
cannes,Prêmio do Júri,1951,All About Eve,Joseph L. Mankiewicz,,N,N
cannes,Prêmio do Júri,1952,We Are All Murderers,André Cayatte,,N,N
cannes,Prêmio do Júri,1954,Knave of Hearts,René Clément,,N,N
cannes,Prêmio do Júri,1955,Lost Continent,Leonardo Bonzi & Enrico Gras,,N,N
cannes,Prêmio do Júri,1956,The Mystery of Picasso,Henri-Georges Clouzot,,N,N
cannes,Prêmio do Júri,1957,Kanał,Andrzej Wajda,,S,N
cannes,Prêmio do Júri,1957,The Seventh Seal,Ingmar Bergman,,S,N
cannes,Prêmio do Júri,1958,Mon Oncle,Jacques Tati,,N,N
cannes,Prêmio do Júri,1959,Stars,Konrad Wolf,,N,N
cannes,Prêmio do Júri,1960,L'Avventura,Michelangelo Antonioni,,S,N
cannes,Prêmio do Júri,1960,Odd Obsession,Kon Ichikawa,,S,N
cannes,Prêmio do Júri,1961,Mother Joan of the Angels,Jerzy Kawalerowicz,,N,N
cannes,Prêmio do Júri,1962,L'Eclisse,Michelangelo Antonioni,,S,N
cannes,Prêmio do Júri,1962,The Trial of Joan of Arc,Robert Bresson,,S,N
cannes,Prêmio do Júri,1963,The Cassandra Cat,Vojtěch Jasný,,S,N
cannes,Prêmio do Júri,1963,Harakiri,Masaki Kobayashi,,S,N
cannes,Prêmio do Júri,1964,Woman in the Dunes,Hiroshi Teshigahara,,N,N
cannes,Prêmio do Júri,1965,Kwaidan,Masaki Kobayashi,,N,N
cannes,Prêmio do Júri,1966,Alfie,Lewis Gilbert,,N,N
cannes,Prêmio do Júri,1969,Z,Costa-Gavras,,N,N
cannes,Prêmio do Júri,1970,The Falcons,István Gaál,,S,N
cannes,Prêmio do Júri,1970,The Strawberry Statement,Stuart Hagmann,,S,N
cannes,Prêmio do Júri,1971,Joe Hill,Bo Widerberg,,S,N
cannes,Prêmio do Júri,1971,Love,Károly Makk,,S,N
cannes,Prêmio do Júri,1972,Slaughterhouse-Five,George Roy Hill,,N,N
cannes,Prêmio do Júri,1973,The Hourglass Sanatorium,Wojciech Has,,S,N
cannes,Prêmio do Júri,1973,The Invitation,Claude Goretta,,S,N
cannes,Prêmio do Júri,1974,La prima Angélica,Carlos Saura,,N,N
cannes,Prêmio do Júri,1980,The Constant Factor,Krzysztof Zanussi,,N,N
cannes,Prêmio do Júri,1983,Kharij,Mrinal Sen,,N,N
cannes,Prêmio do Júri,1985,Colonel Redl,István Szabó,,N,N
cannes,Prêmio do Júri,1986,Thérèse,Alain Cavalier,,N,N
cannes,Prêmio do Júri,1987,Shinran: Path to Purity,Rentarō Mikuni,,S,N
cannes,Prêmio do Júri,1987,Yeelen,Souleymane Cissé,,S,N
cannes,Prêmio do Júri,1988,A Short Film About Killing,Krzysztof Kieślowski,,N,N
cannes,Prêmio do Júri,1989,Jesus of Montreal,Denys Arcand,,N,N
cannes,Prêmio do Júri,1990,Hidden Agenda,Ken Loach,,N,N
cannes,Prêmio do Júri,1991,Europa,Lars von Trier,,S,N
cannes,Prêmio do Júri,1991,Out of Life,Maroun Bagdadi,,S,N
cannes,Prêmio do Júri,1992,Dream of Light,Víctor Erice,,S,N
cannes,Prêmio do Júri,1992,An Independent Life,Vitali Kanevsky,,S,N
cannes,Prêmio do Júri,1993,The Puppetmaster,Hou Hsiao-hsien,,S,N
cannes,Prêmio do Júri,1993,Raining Stones,Ken Loach,,S,N
cannes,Prêmio do Júri,1994,La Reine Margot,Patrice Chéreau,,N,N
cannes,Prêmio do Júri,1995,Don't Forget You're Going to Die,Xavier Beauvois,,N,N
cannes,Prêmio do Júri,1996,Crash,David Cronenberg,,N,N
cannes,Prêmio do Júri,1997,Western,Manuel Poirier,,N,N
cannes,Prêmio do Júri,1998,The Celebration,Thomas Vinterberg,,S,N
cannes,Prêmio do Júri,1998,Class Trip,Claude Miller,,S,N
cannes,Prêmio do Júri,1999,The Letter,Manoel de Oliveira,,N,N
cannes,Prêmio do Júri,2000,Blackboards,Samira Makhmalbaf,,S,N
cannes,Prêmio do Júri,2000,Songs from the Second Floor,Roy Andersson,,S,N
cannes,Prêmio do Júri,2002,Divine Intervention,Elia Suleiman,,N,N
cannes,Prêmio do Júri,2003,At Five in the Afternoon,Samira Makhmalbaf,,N,N
cannes,Prêmio do Júri,2004,The Ladykillers,Joel & Ethan Coen,,S,N
cannes,Prêmio do Júri,2004,Tropical Malady,Apichatpong Weerasethakul,,S,N
cannes,Prêmio do Júri,2005,Shanghai Dreams,Wang Xiaoshuai,,N,N
cannes,Prêmio do Júri,2006,Red Road,Andrea Arnold,,N,N
cannes,Prêmio do Júri,2007,Persepolis,Marjane Satrapi & Vincent Paronnaud,,S,N
cannes,Prêmio do Júri,2007,Silent Light,Carlos Reygadas,,S,N
cannes,Prêmio do Júri,2008,Il divo,Paolo Sorrentino,,N,N
cannes,Prêmio do Júri,2009,Fish Tank,Andrea Arnold,,S,N
cannes,Prêmio do Júri,2009,Thirst,Park Chan-wook,,S,N
cannes,Prêmio do Júri,2010,A Screaming Man,Mahamat-Saleh Haroun,,N,N
cannes,Prêmio do Júri,2011,Polisse,Maïwenn,,N,N
cannes,Prêmio do Júri,2012,The Angels' Share,Ken Loach,,N,N
cannes,Prêmio do Júri,2013,"Like Father, Like Son",Hirokazu Kore-eda,,N,N
cannes,Prêmio do Júri,2014,Goodbye to Language,Jean-Luc Godard,,S,N
cannes,Prêmio do Júri,2014,Mommy,Xavier Dolan,,S,N
cannes,Prêmio do Júri,2015,The Lobster,Yorgos Lanthimos,,N,N
cannes,Prêmio do Júri,2016,American Honey,Andrea Arnold,,N,N
cannes,Prêmio do Júri,2017,Loveless,Andrey Zvyagintsev,,N,N
cannes,Prêmio do Júri,2018,Capernaum,Nadine Labaki,,N,N
cannes,Prêmio do Júri,2019,Bacurau,Kleber Mendonça Filho & Juliano Dornelles,,S,N
cannes,Prêmio do Júri,2019,Les Misérables,Ladj Ly,,S,N
cannes,Prêmio do Júri,2021,Ahed's Knee,Nadav Lapid,,S,N
cannes,Prêmio do Júri,2021,Memoria,Apichatpong Weerasethakul,,S,N
cannes,Prêmio do Júri,2022,The Eight Mountains,Felix van Groeningen & Charlotte Vandermeersch,,S,N
cannes,Prêmio do Júri,2022,EO,Jerzy Skolimowski,,S,N
cannes,Prêmio do Júri,2023,Fallen Leaves,Aki Kaurismäki,,N,N
cannes,Prêmio do Júri,2024,Emilia Pérez,Jacques Audiard,,N,N
cannes,Prêmio do Júri,2025,Sirāt,Oliver Laxe,,S,N
cannes,Prêmio do Júri,2025,Sound of Falling,Mascha Schilinski,,S,N
cannes,Prêmio do Júri,2026,The Dreamed Adventure,Valeska Grisebach,,N,N
