festival,categoria,ano_premio,titulo,diretor,premiado,empate,verificado
cannes,Roteiro,1951,The Browning Version,,Terence Rattigan,N,P
cannes,Roteiro,1952,Cops and Robbers,,Piero Tellini,N,S
cannes,Roteiro,1958,Young Husbands,,Pier Paolo Pasolini; Massimo Franciosa; Pasquale Festa Campanile,N,S
cannes,Roteiro,1963,Codine,,Dumitru Carabat; Henri Colpi; Yves Jamiaque,N,S
cannes,Roteiro,1965,The Hill,,Ray Rigby,S,S
cannes,Roteiro,1965,The 317th Platoon,,Pierre Schoendoerffer,S,S
cannes,Roteiro,1967,The Killing Game,,Alain Jessua,S,S
cannes,Roteiro,1967,We Still Kill the Old Way,,Elio Petri,S,S
cannes,Roteiro,1974,The Sugarland Express,,Steven Spielberg; Hal Barwood; Matthew Robbins,N,S
cannes,Roteiro,1980,La Terrazza,,Furio Scarpelli; Agenore Incrocci; Ettore Scola,N,S
cannes,Roteiro,1981,Mephisto,,István Szabó,N,S
cannes,Roteiro,1982,Moonlighting,,Jerzy Skolimowski,N,P
cannes,Roteiro,1984,Voyage to Cythera,,Thanassis Valtinos; Theo Angelopoulos; Tonino Guerra,N,S
cannes,Roteiro,1994,Grosse fatigue,,Michel Blanc,N,S
cannes,Roteiro,1996,A Self Made Hero,,Jacques Audiard; Alain Le Henry,N,S
cannes,Roteiro,1997,The Ice Storm,,James Schamus,N,P
cannes,Roteiro,1998,Henry Fool,,Hal Hartley,N,S
cannes,Roteiro,1999,Moloch,,Yuri Arabov,N,S
cannes,Roteiro,2000,Nurse Betty,,James Flamberg; John C. Richards,N,P
cannes,Roteiro,2001,No Man's Land,,Danis Tanović,N,P
cannes,Roteiro,2002,Sweet Sixteen,,Paul Laverty,N,P
cannes,Roteiro,2003,The Barbarian Invasions,,Denys Arcand,N,P
cannes,Roteiro,2004,Look at Me,,Agnès Jaoui; Jean-Pierre Bacri,N,S
cannes,Roteiro,2005,The Three Burials of Melquiades Estrada,,Guillermo Arriaga,N,S
cannes,Roteiro,2006,Volver,,Pedro Almodóvar,N,S
cannes,Roteiro,2007,The Edge of Heaven,,Fatih Akin,N,P
cannes,Roteiro,2008,Lorna's Silence,,Jean-Pierre & Luc Dardenne,N,S
cannes,Roteiro,2009,Spring Fever,,Mei Feng,N,P
cannes,Roteiro,2010,Poetry,,Lee Chang-dong,N,P
cannes,Roteiro,2011,Footnote,,Joseph Cedar,N,P
cannes,Roteiro,2012,Beyond the Hills,,Cristian Mungiu; Tatiana Niculescu Bran,N,S
cannes,Roteiro,2013,A Touch of Sin,,Jia Zhangke,N,S
cannes,Roteiro,2014,Leviathan,,Andrey Zvyagintsev; Oleg Negin,N,S
cannes,Roteiro,2015,Chronic,,Michel Franco,N,P
cannes,Roteiro,2016,The Salesman,,Asghar Farhadi,N,S
cannes,Roteiro,2017,The Killing of a Sacred Deer,,Yorgos Lanthimos; Efthymis Filippou,S,P
cannes,Roteiro,2017,You Were Never Really Here,,Lynne Ramsay,S,P
cannes,Roteiro,2018,3 Faces,,Jafar Panahi; Nader Saeivar,S,S
cannes,Roteiro,2018,Happy as Lazzaro,,Alice Rohrwacher,S,S
cannes,Roteiro,2019,Portrait of a Lady on Fire,,Céline Sciamma,N,P
cannes,Roteiro,2021,Drive My Car,,Ryusuke Hamaguchi; Takamasa Oe,N,P
cannes,Roteiro,2022,Boy from Heaven,,Tarik Saleh,N,P
cannes,Roteiro,2023,Monster,,Yuji Sakamoto,N,S
cannes,Roteiro,2024,The Substance,,Coralie Fargeat,N,S
cannes,Roteiro,2025,Young Mothers,,Jean-Pierre & Luc Dardenne,N,P
cannes,Roteiro,2026,A Man of His Time,,Emmanuel Marre,N,S
