festival,categoria,ano_premio,titulo,diretor,premiado,empate,verificado
oscar,Ator,2026,Sinners,,Michael B. Jordan,N,S
oscar,Ator,2025,The Brutalist,,Adrien Brody,N,S
oscar,Ator,2024,Oppenheimer,,Cillian Murphy,N,S
oscar,Ator,2023,The Whale,,Brendan Fraser,N,S
oscar,Ator,2022,King Richard,,Will Smith,N,S
oscar,Ator,2021,The Father,,Anthony Hopkins,N,S
oscar,Ator,2020,Joker,,Joaquin Phoenix,N,S
oscar,Ator,2019,Bohemian Rhapsody,,Rami Malek,N,S
oscar,Ator,2018,Darkest Hour,,Gary Oldman,N,S
oscar,Ator,2017,Manchester by the Sea,,Casey Affleck,N,S
oscar,Ator,2016,The Revenant,,Leonardo DiCaprio,N,S
oscar,Ator,2015,The Theory of Everything,,Eddie Redmayne,N,S
oscar,Ator,2014,Dallas Buyers Club,,Matthew McConaughey,N,S
oscar,Ator,2013,Lincoln,,Daniel Day-Lewis,N,S
oscar,Ator,2012,The Artist,,Jean Dujardin,N,S
oscar,Ator,2011,The King's Speech,,Colin Firth,N,S
oscar,Ator,2010,Crazy Heart,,Jeff Bridges,N,S
oscar,Ator,2009,Milk,,Sean Penn,N,S
oscar,Ator,2008,There Will Be Blood,,Daniel Day-Lewis,N,S
oscar,Ator,2007,The Last King of Scotland,,Forest Whitaker,N,S
oscar,Ator,2006,Capote,,Philip Seymour Hoffman,N,S
oscar,Ator,2005,Ray,,Jamie Foxx,N,S
oscar,Ator,2004,Mystic River,,Sean Penn,N,S
oscar,Ator,2003,The Pianist,,Adrien Brody,N,S
oscar,Ator,2002,Training Day,,Denzel Washington,N,S
oscar,Ator,2001,Gladiator,,Russell Crowe,N,S
oscar,Ator,2000,American Beauty,,Kevin Spacey,N,S
oscar,Ator,1999,Life Is Beautiful,,Roberto Benigni,N,S
oscar,Ator,1998,As Good as It Gets,,Jack Nicholson,N,S
oscar,Ator,1997,Shine,,Geoffrey Rush,N,S
oscar,Ator,1996,Leaving Las Vegas,,Nicolas Cage,N,S
oscar,Ator,1995,Forrest Gump,,Tom Hanks,N,S
oscar,Ator,1994,Philadelphia,,Tom Hanks,N,S
oscar,Ator,1993,Scent of a Woman,,Al Pacino,N,S
oscar,Ator,1992,The Silence of the Lambs,,Anthony Hopkins,N,S
oscar,Ator,1991,Reversal of Fortune,,Jeremy Irons,N,S
oscar,Ator,1990,My Left Foot,,Daniel Day-Lewis,N,S
oscar,Ator,1989,Rain Man,,Dustin Hoffman,N,S
oscar,Ator,1988,Wall Street,,Michael Douglas,N,S
oscar,Ator,1987,The Color of Money,,Paul Newman,N,S
oscar,Ator,1986,Kiss of the Spider Woman,,William Damaged,N,S
oscar,Ator,1985,Amadeus,,F. Murray Abraham,N,S
oscar,Ator,1984,Tender Mercies,,Robert Duvall,N,S
oscar,Ator,1983,Gandhi,,Ben Kingsley,N,S
oscar,Ator,1982,On Golden Pond,,Henry Fonda,N,S
oscar,Ator,1981,Raging Bull,,Robert De Niro,N,S
oscar,Ator,1980,Kramer vs. Kramer,,Dustin Hoffman,N,S
oscar,Ator,1979,Coming Home,,Jon Voight,N,S
oscar,Ator,1978,The Goodbye Girl,,Richard Dreyfuss,N,S
oscar,Ator,1977,Network,,Peter Finch,N,S
oscar,Ator,1976,One Flew Over the Cuckoo's Nest,,Jack Nicholson,N,S
oscar,Ator,1975,Harry and Tonto,,Art Carney,N,S
oscar,Ator,1974,Save the Tiger,,Jack Lemmon,N,S
oscar,Ator,1973,The Godfather,,Marlon Brando,N,S
oscar,Ator,1972,The French Connection,,Gene Hackman,N,S
oscar,Ator,1971,Patton,,George C. Scott,N,S
oscar,Ator,1970,True Grit,,John Wayne,N,S
oscar,Ator,1969,Charly,,Cliff Robertson,N,S
oscar,Ator,1968,In the Heat of the Night,,Rod Steiger,N,S
oscar,Ator,1967,A Man for All Seasons,,Paul Scofield,N,S
oscar,Ator,1966,Cat Ballou,,Lee Marvin,N,S
oscar,Ator,1965,My Fair Lady,,Rex Harrison,N,S
oscar,Ator,1964,Lilies of the Field,,Sidney Poitier,N,S
oscar,Ator,1963,To Kill a Mockingbird,,Gregory Peck,N,S
oscar,Ator,1962,Judgment at Nuremberg,,Maximilian Schell,N,S
oscar,Ator,1961,Elmer Gantry,,Burt Lancaster,N,S
oscar,Ator,1960,Ben-Hur,,Charlton Heston,N,S
oscar,Ator,1959,Separate Tables,,David Niven,N,S
oscar,Ator,1958,The Bridge on the River Kwai,,Alec Guinness,N,S
oscar,Ator,1957,The King and I,,Yul Brynner,N,S
oscar,Ator,1956,Marty,,Ernest Borgnine,N,S
oscar,Ator,1955,On the Waterfront,,Marlon Brando,N,S
oscar,Ator,1954,Stalag 17,,William Holden,N,S
oscar,Ator,1953,High Noon,,Gary Cooper,N,S
oscar,Ator,1952,The African Queen,,Humphrey Bogart,N,S
oscar,Ator,1951,Cyrano de Bergerac,,José Ferrer,N,S
oscar,Ator,1950,All the King's Men,,Broderick Crawford,N,S
oscar,Ator,1949,Hamlet,,Laurence Olivier,N,S
oscar,Ator,1948,A Double Life,,Ronald Colman,N,S
oscar,Ator,1947,The Best Years of Our Lives,,Fredric March,N,S
oscar,Ator,1946,The Lost Weekend,,Ray Milland,N,S
oscar,Ator,1945,Going My Way,,Bing Crosby,N,S
oscar,Ator,1944,Watch on the Rhine,,Paul Lukas,N,S
oscar,Ator,1943,Yankee Doodle Dandy,,James Cagney,N,S
oscar,Ator,1942,Sergeant York,,Gary Cooper,N,S
oscar,Ator,1941,The Philadelphia Story,,James Stewart,N,S
oscar,Ator,1940,"Goodbye, Mr. Chips",,Robert Donat,N,S
oscar,Ator,1939,Boys Town,,Spencer Tracy,N,S
oscar,Ator,1938,Captains Courageous,,Spencer Tracy,N,S
oscar,Ator,1937,The Story of Louis Pasteur,,Paul Muni,N,S
oscar,Ator,1936,The Informer,,Victor McLaglen,N,S
oscar,Ator,1935,It Happened One Night,,Clark Gable,N,S
oscar,Ator,1934,The Private Life of Henry VIII,,Charles Laughton,N,S
oscar,Ator,1932,Dr. Jekyll and Mr. Hyde,,Fredric March,S,S
oscar,Ator,1932,The Champ,,Wallace Beery,S,S
oscar,Ator,1931,A Free Soul,,Lionel Barrymore,N,S
oscar,Ator,1930,Disraeli,,George Arliss,N,S
oscar,Ator,1930,In Old Arizona,,Warner Baxter,N,S
oscar,Ator,1929,The Last Command,,Emil Jannings,N,S
oscar,Ator,1929,The Way of All Flesh,,Emil Jannings,N,S
