festival,categoria,ano_premio,titulo,diretor,premiado,empate,verificado
oscar,Atriz,2026,Hamnet,,Jessie Buckley,N,N
oscar,Atriz,2025,Anora,,Mikey Madison,N,N
oscar,Atriz,2024,Poor Things,,Emma Stone,N,N
oscar,Atriz,2023,Everything Everywhere All at Once,,Michelle Yeoh,N,N
oscar,Atriz,2022,The Eyes of Tammy Faye,,Jessica Chastain,N,N
oscar,Atriz,2021,Nomadland,,Frances McDormand,N,N
oscar,Atriz,2020,Judy,,Renée Zellweger,N,N
oscar,Atriz,2019,The Favourite,,Olivia Colman,N,N
oscar,Atriz,2018,"Three Billboards Outside Ebbing, Missouri",,Frances McDormand,N,N
oscar,Atriz,2017,La La Land,,Emma Stone,N,N
oscar,Atriz,2016,Room,,Brie Larson,N,N
oscar,Atriz,2015,Still Alice,,Julianne Moore,N,N
oscar,Atriz,2014,Blue Jasmine,,Cate Blanchett,N,N
oscar,Atriz,2013,Silver Linings Playbook,,Jennifer Lawrence,N,N
oscar,Atriz,2012,The Iron Lady,,Meryl Streep,N,N
oscar,Atriz,2011,Black Swan,,Natalie Portman,N,N
oscar,Atriz,2010,The Blind Side,,Sandra Bullock,N,N
oscar,Atriz,2009,The Reader,,Kate Winslet,N,N
oscar,Atriz,2008,La Vie en Rose,,Marion Cotillard,N,N
oscar,Atriz,2007,The Queen,,Helen Mirren,N,N
oscar,Atriz,2006,Walk the Line,,Reese Witherspoon,N,N
oscar,Atriz,2005,Million Dollar Baby,,Hilary Swank,N,N
oscar,Atriz,2004,Monster,,Charlize Theron,N,N
oscar,Atriz,2003,The Hours,,Nicole Kidman,N,N
oscar,Atriz,2002,Monster's Ball,,Halle Berry,N,N
oscar,Atriz,2001,Erin Brockovich,,Julia Roberts,N,N
oscar,Atriz,2000,Boys Don't Cry,,Hilary Swank,N,N
oscar,Atriz,1999,Shakespeare in Love,,Gwyneth Paltrow,N,N
oscar,Atriz,1998,As Good as It Gets,,Helen Hunt,N,N
oscar,Atriz,1997,Fargo,,Frances McDormand,N,N
oscar,Atriz,1996,Dead Man Walking,,Susan Sarandon,N,N
oscar,Atriz,1995,Blue Sky,,Jessica Lange,N,N
oscar,Atriz,1994,The Piano,,Holly Hunter,N,N
oscar,Atriz,1993,Howards End,,Emma Thompson,N,N
oscar,Atriz,1992,The Silence of the Lambs,,Jodie Foster,N,N
oscar,Atriz,1991,Misery,,Kathy Bates,N,N
oscar,Atriz,1990,Driving Miss Daisy,,Jessica Tandy,N,N
oscar,Atriz,1989,The Accused,,Jodie Foster,N,N
oscar,Atriz,1988,Moonstruck,,Cher,N,N
oscar,Atriz,1987,Children of a Lesser God,,Marlee Matlin,N,N
oscar,Atriz,1986,The Trip to Bountiful,,Geraldine Page,N,N
oscar,Atriz,1985,Places in the Heart,,Sally Field,N,N
oscar,Atriz,1984,Terms of Endearment,,Shirley MacLaine,N,N
oscar,Atriz,1983,Sophie's Choice,,Meryl Streep,N,N
oscar,Atriz,1982,On Golden Pond,,Katharine Hepburn,N,N
oscar,Atriz,1981,Coal Miner's Daughter,,Sissy Spacek,N,N
oscar,Atriz,1980,Norma Rae,,Sally Field,N,N
oscar,Atriz,1979,Coming Home,,Jane Fonda,N,N
oscar,Atriz,1978,Annie Hall,,Diane Keaton,N,N
oscar,Atriz,1977,Network,,Faye Dunaway,N,N
oscar,Atriz,1976,One Flew Over the Cuckoo's Nest,,Louise Fletcher,N,N
oscar,Atriz,1975,Alice Doesn't Live Here Anymore,,Ellen Burstyn,N,N
oscar,Atriz,1974,A Touch of Class,,Glenda Jackson,N,N
oscar,Atriz,1973,Cabaret,,Liza Minnelli,N,N
oscar,Atriz,1972,Klute,,Jane Fonda,N,N
oscar,Atriz,1971,Women in Love,,Glenda Jackson,N,N
oscar,Atriz,1970,The Prime of Miss Jean Brodie,,Maggie Smith,N,N
oscar,Atriz,1969,Funny Girl,,Barbra Streisand,S,N
oscar,Atriz,1969,The Lion in Winter,,Katharine Hepburn,S,N
oscar,Atriz,1968,Guess Who's Coming to Dinner,,Katharine Hepburn,N,N
oscar,Atriz,1967,Who's Afraid of Virginia Woolf?,,Elizabeth Taylor,N,N
oscar,Atriz,1966,Darling,,Julie Christie,N,N
oscar,Atriz,1965,Mary Poppins,,Julie Andrews,N,N
oscar,Atriz,1964,Hud,,Patricia Neal,N,N
oscar,Atriz,1963,The Miracle Worker,,Anne Bancroft,N,N
oscar,Atriz,1962,Two Women,,Sophia Loren,N,N
oscar,Atriz,1961,BUtterfield 8,,Elizabeth Taylor,N,N
oscar,Atriz,1960,Room at the Top,,Simone Signoret,N,N
oscar,Atriz,1959,I Want to Live!,,Susan Hayward,N,N
oscar,Atriz,1958,The Three Faces of Eve,,Joanne Woodward,N,N
oscar,Atriz,1957,Anastasia,,Ingrid Bergman,N,N
oscar,Atriz,1956,The Rose Tattoo,,Anna Magnani,N,N
oscar,Atriz,1955,The Country Girl,,Grace Kelly,N,N
oscar,Atriz,1954,Roman Holiday,,Audrey Hepburn,N,N
oscar,Atriz,1953,"Come Back, Little Sheba",,Shirley Booth,N,N
oscar,Atriz,1952,A Streetcar Named Desire,,Vivien Leigh,N,N
oscar,Atriz,1951,Born Yesterday,,Judy Holliday,N,N
oscar,Atriz,1950,The Heiress,,Olivia de Havilland,N,N
oscar,Atriz,1949,Johnny Belinda,,Jane Wyman,N,N
oscar,Atriz,1948,The Farmer's Daughter,,Loretta Young,N,N
oscar,Atriz,1947,To Each His Own,,Olivia de Havilland,N,N
oscar,Atriz,1946,Mildred Pierce,,Joan Crawford,N,N
oscar,Atriz,1945,Gaslight,,Ingrid Bergman,N,N
oscar,Atriz,1944,The Song of Bernadette,,Jennifer Jones,N,N
oscar,Atriz,1943,Mrs. Miniver,,Greer Garson,N,N
oscar,Atriz,1942,Suspicion,,Joan Fontaine,N,N
oscar,Atriz,1941,Kitty Foyle,,Ginger Rogers,N,N
oscar,Atriz,1940,Gone with the Wind,,Vivien Leigh,N,N
oscar,Atriz,1939,Jezebel,,Bette Davis,N,N
oscar,Atriz,1938,The Good Earth,,Luise Rainer,N,N
oscar,Atriz,1937,The Great Ziegfeld,,Luise Rainer,N,N
oscar,Atriz,1936,Dangerous,,Bette Davis,N,N
oscar,Atriz,1935,It Happened One Night,,Claudette Colbert,N,N
oscar,Atriz,1934,Morning Glory,,Katharine Hepburn,N,N
oscar,Atriz,1932,The Sin of Madelon Claudet,,Helen Hayes,N,N
