festival,categoria,ano_premio,titulo,diretor,premiado,empate,verificado
oscar,Direção,2026,One Battle After Another,Paul Thomas Anderson,,N,S
oscar,Direção,2025,Anora,Sean Baker,,N,S
oscar,Direção,2024,Oppenheimer,Christopher Nolan,,N,S
oscar,Direção,2023,Everything Everywhere All at Once,Dan Kwan; Daniel Scheinert,,N,S
oscar,Direção,2022,The Power of the Dog,Jane Campion,,N,S
oscar,Direção,2021,Nomadland,Chloé Zhao,,N,S
oscar,Direção,2020,Parasite,Bong Joon-ho,,N,S
oscar,Direção,2019,Roma,Alfonso Cuarón,,N,S
oscar,Direção,2018,The Shape of Water,Guillermo del Toro,,N,S
oscar,Direção,2017,La La Land,Damien Chazelle,,N,S
oscar,Direção,2016,The Revenant,Alejandro González Iñárritu,,N,S
oscar,Direção,2015,Birdman,Alejandro González Iñárritu,,N,S
oscar,Direção,2014,Gravity,Alfonso Cuarón,,N,S
oscar,Direção,2013,Life of Pi,Ang Lee,,N,S
oscar,Direção,2012,The Artist,Michel Hazanavicius,,N,S
oscar,Direção,2011,The King's Speech,Tom Hooper,,N,S
oscar,Direção,2010,The Hurt Locker,Kathryn Bigelow,,N,S
oscar,Direção,2009,Slumdog Millionaire,Danny Boyle,,N,S
oscar,Direção,2008,No Country for Old Men,Joel Coen; Ethan Coen,,N,S
oscar,Direção,2007,The Departed,Martin Scorsese,,N,S
oscar,Direção,2006,Brokeback Mountain,Ang Lee,,N,S
oscar,Direção,2005,Million Dollar Baby,Clint Eastwood,,N,S
oscar,Direção,2004,The Lord of the Rings: The Return of the King,Peter Jackson,,N,S
oscar,Direção,2003,The Pianist,Roman Polanski,,N,S
oscar,Direção,2002,A Beautiful Mind,Ron Howard,,N,S
oscar,Direção,2001,Traffic,Steven Soderbergh,,N,S
oscar,Direção,2000,American Beauty,Sam Mendes,,N,S
oscar,Direção,1999,Saving Private Ryan,Steven Spielberg,,N,S
oscar,Direção,1998,Titanic,James Cameron,,N,S
oscar,Direção,1997,The English Patient,Anthony Minghella,,N,S
oscar,Direção,1996,Braveheart,Mel Gibson,,N,S
oscar,Direção,1995,Forrest Gump,Robert Zemeckis,,N,S
oscar,Direção,1994,Schindler's List,Steven Spielberg,,N,S
oscar,Direção,1993,Unforgiven,Clint Eastwood,,N,S
oscar,Direção,1992,The Silence of the Lambs,Jonathan Demme,,N,S
oscar,Direção,1991,Dances with Wolves,Kevin Costner,,N,S
oscar,Direção,1990,Born on the Fourth of July,Oliver Stone,,N,S
oscar,Direção,1989,Rain Man,Barry Levinson,,N,S
oscar,Direção,1988,The Last Emperor,Bernardo Bertolucci,,N,S
oscar,Direção,1987,Platoon,Oliver Stone,,N,S
oscar,Direção,1986,Out of Africa,Sydney Pollack,,N,S
oscar,Direção,1985,Amadeus,Miloš Forman,,N,S
oscar,Direção,1984,Terms of Endearment,James L. Brooks,,N,S
oscar,Direção,1983,Gandhi,Richard Attenborough,,N,S
oscar,Direção,1982,Reds,Warren Beatty,,N,S
oscar,Direção,1981,Ordinary People,Robert Redford,,N,S
oscar,Direção,1980,Kramer vs. Kramer,Robert Benton,,N,S
oscar,Direção,1979,The Deer Hunter,Michael Cimino,,N,S
oscar,Direção,1978,Annie Hall,Woody Allen,,N,S
oscar,Direção,1977,Rocky,John G. Avildsen,,N,S
oscar,Direção,1976,One Flew Over the Cuckoo's Nest,Miloš Forman,,N,S
oscar,Direção,1975,The Godfather Part II,Francis Ford Coppola,,N,S
