festival,categoria,ano_premio,titulo,diretor,premiado,empate,verificado
oscar,Filme Estrangeiro,1957,La Strada,Federico Fellini,,N,S
oscar,Filme Estrangeiro,1958,Nights of Cabiria,Federico Fellini,,N,S
oscar,Filme Estrangeiro,1959,Mon Oncle,Jacques Tati,,N,S
oscar,Filme Estrangeiro,1960,Black Orpheus,Marcel Camus,,N,S
oscar,Filme Estrangeiro,1961,The Virgin Spring,Ingmar Bergman,,N,S
oscar,Filme Estrangeiro,1962,Through a Glass Darkly,Ingmar Bergman,,N,S
oscar,Filme Estrangeiro,1963,Sundays and Cybele,Serge Bourguignon,,N,S
oscar,Filme Estrangeiro,1964,8½,Federico Fellini,,N,S
oscar,Filme Estrangeiro,1965,"Yesterday, Today and Tomorrow",Vittorio De Sica,,N,S
oscar,Filme Estrangeiro,1966,The Shop on Main Street,Ján Kadár; Elmar Klos,,N,S
oscar,Filme Estrangeiro,1967,A Man and a Woman,Claude Lelouch,,N,S
oscar,Filme Estrangeiro,1968,Closely Watched Trains,Jiří Menzel,,N,S
oscar,Filme Estrangeiro,1969,War and Peace,Sergei Bondarchuk,,N,S
oscar,Filme Estrangeiro,1970,Z,Costa-Gavras,,N,S
oscar,Filme Estrangeiro,1971,Investigation of a Citizen Above Suspicion,Elio Petri,,N,S
oscar,Filme Estrangeiro,1972,The Garden of the Finzi-Continis,Vittorio De Sica,,N,S
oscar,Filme Estrangeiro,1973,The Discreet Charm of the Bourgeoisie,Luis Buñuel,,N,S
oscar,Filme Estrangeiro,1974,Day for Night,François Truffaut,,N,S
oscar,Filme Estrangeiro,1975,Amarcord,Federico Fellini,,N,S
oscar,Filme Estrangeiro,1976,Dersu Uzala,Akira Kurosawa,,N,S
oscar,Filme Estrangeiro,1977,Black and White in Color,Jean-Jacques Annaud,,N,S
oscar,Filme Estrangeiro,1978,Madame Rosa,Moshé Mizrahi,,N,S
oscar,Filme Estrangeiro,1979,Get Out Your Handkerchiefs,Bertrand Blier,,N,S
oscar,Filme Estrangeiro,1980,The Tin Drum,Volker Schlöndorff,,N,S
oscar,Filme Estrangeiro,1981,Moscow Does Not Believe in Tears,Vladimir Menshov,,N,S
oscar,Filme Estrangeiro,1982,Mephisto,István Szabó,,N,S
oscar,Filme Estrangeiro,1983,Begin the Beguine,José Luis Garci,,N,S
oscar,Filme Estrangeiro,1984,Fanny and Alexander,Ingmar Bergman,,N,S
oscar,Filme Estrangeiro,1985,Dangerous Moves,Richard Dembo,,N,S
oscar,Filme Estrangeiro,1986,The Official Story,,,N,S
oscar,Filme Estrangeiro,1987,The Assault,Fons Rademakers,,N,S
oscar,Filme Estrangeiro,1988,Babette's Feast,Gabriel Axel,,N,S
oscar,Filme Estrangeiro,1989,Pelle the Conqueror,Bille August,,N,S
oscar,Filme Estrangeiro,1990,Cinema Paradiso,Giuseppe Tornatore,,N,S
oscar,Filme Estrangeiro,1991,Journey of Hope,Xavier Koller,,N,S
oscar,Filme Estrangeiro,1992,Mediterraneo,Gabriele Salvatores,,N,S
oscar,Filme Estrangeiro,1993,Indochine,Régis Wargnier,,N,S
oscar,Filme Estrangeiro,1994,Belle Époque,Fernando Trueba,,N,S
oscar,Filme Estrangeiro,1995,Burnt by the Sun,Nikita Mikhalkov,,N,S
oscar,Filme Estrangeiro,1996,Antonia's Line,Marleen Gorris,,N,S
oscar,Filme Estrangeiro,1997,Kolya,Jan Svěrák,,N,S
oscar,Filme Estrangeiro,1998,Character,Mike van Diem,,N,S
oscar,Filme Estrangeiro,1999,Life Is Beautiful,Roberto Benigni,,N,S
oscar,Filme Estrangeiro,2000,All About My Mother,Pedro Almodóvar,,N,S
oscar,Filme Estrangeiro,2001,"Crouching Tiger, Hidden Dragon",Ang Lee,,N,S
