festival,categoria,ano_premio,titulo,diretor,premiado,empate,verificado
oscar,Filme,2026,One Battle After Another,Paul Thomas Anderson,,N,S
oscar,Filme,2025,Anora,Sean Baker,,N,S
oscar,Filme,2024,Oppenheimer,Christopher Nolan,,N,S
oscar,Filme,2023,Everything Everywhere All at Once,Dan Kwan; Daniel Scheinert,,N,S
oscar,Filme,2022,CODA,Siân Héder,,N,S
oscar,Filme,2021,Nomadland,Chloé Zhao,,N,S
oscar,Filme,2020,Parasite,Bong Joon-ho,,N,S
oscar,Filme,2019,Green Book,Peter Farrelly,,N,S
oscar,Filme,2018,The Shape of Water,Guillermo del Toro,,N,S
oscar,Filme,2017,Moonlight,Barry Jenkins,,N,S
oscar,Filme,2016,Spotlight,Tom McCarthy,,N,S
oscar,Filme,2015,Birdman,Alejandro González Iñárritu,,N,S
oscar,Filme,2014,12 Years a Slave,Steve McQueen,,N,S
oscar,Filme,2013,Argo,Ben Affleck,,N,S
oscar,Filme,2012,The Artist,Michel Hazanavicius,,N,S
oscar,Filme,2011,The King's Speech,Tom Hooper,,N,S
oscar,Filme,2010,The Hurt Locker,Kathryn Bigelow,,N,S
oscar,Filme,2009,Slumdog Millionaire,Danny Boyle; Loveleen Tandan,,N,S
oscar,Filme,2008,No Country for Old Men,Joel Coen; Ethan Coen,,N,S
oscar,Filme,2007,The Departed,Martin Scorsese,,N,S
oscar,Filme,2006,Crash,Paul Haggis,,N,S
oscar,Filme,2005,Million Dollar Baby,Clint Eastwood,,N,S
oscar,Filme,2004,The Lord of the Rings: The Return of the King,Peter Jackson,,N,S
oscar,Filme,2003,Chicago,Rob Marshall,,N,S
oscar,Filme,2002,A Beautiful Mind,Ron Howard,,N,S
oscar,Filme,2001,Gladiator,Ridley Scott,,N,S
oscar,Filme,2000,American Beauty,Sam Mendes,,N,S
oscar,Filme,1999,Shakespeare in Love,John Madden,,N,S
oscar,Filme,1998,Titanic,James Cameron,,N,S
oscar,Filme,1997,The English Patient,Anthony Minghella,,N,S
oscar,Filme,1996,Braveheart,Mel Gibson,,N,S
oscar,Filme,1995,Forrest Gump,Robert Zemeckis,,N,S
oscar,Filme,1994,Schindler's List,Steven Spielberg,,N,S
oscar,Filme,1993,Unforgiven,Clint Eastwood,,N,S
oscar,Filme,1992,The Silence of the Lambs,Jonathan Demme,,N,S
oscar,Filme,1991,Dances with Wolves,Kevin Costner,,N,S
oscar,Filme,1990,Driving Miss Daisy,Bruce Beresford,,N,S
oscar,Filme,1989,Rain Man,Barry Levinson,,N,S
oscar,Filme,1988,The Last Emperor,Bernardo Bertolucci,,N,S
oscar,Filme,1987,Platoon,Oliver Stone,,N,S
oscar,Filme,1986,Out of Africa,Sydney Pollack,,N,S
oscar,Filme,1985,Amadeus,Miloš Forman,,N,S
oscar,Filme,1984,Terms of Endearment,James L. Brooks,,N,S
oscar,Filme,1983,Gandhi,Richard Attenborough,,N,S
oscar,Filme,1982,Chariots of Fire,Hugh Hudson,,N,S
oscar,Filme,1981,Ordinary People,Robert Redford,,N,S
oscar,Filme,1980,Kramer vs. Kramer,Robert Benton,,N,S
oscar,Filme,1979,The Deer Hunter,Michael Cimino,,N,S
oscar,Filme,1978,Annie Hall,Woody Allen,,N,S
oscar,Filme,1977,Rocky,John G. Avildsen,,N,S
oscar,Filme,1976,One Flew Over the Cuckoo's Nest,Miloš Forman,,N,S
oscar,Filme,1975,The Godfather Part II,Francis Ford Coppola,,N,S
oscar,Filme,1974,The Sting,George Roy Hill,,N,S
oscar,Filme,1973,The Godfather,Francis Ford Coppola,,N,S
