festival,categoria,ano_premio,titulo,diretor,premiado,empate,verificado
oscar,Roteiro,2026,One Battle After Another,,Paul Thomas Anderson,N,S
oscar,Roteiro,2026,Sinners,,Ryan Coogler,N,S
oscar,Roteiro,2025,Anora,,Sean Baker,N,S
oscar,Roteiro,2025,Conclave,,Peter Straughan,N,S
oscar,Roteiro,2024,American Fiction,,Cord Jefferson,N,S
oscar,Roteiro,2024,Anatomy of a Fall,,Justine Triet; Arthur Harari,N,S
oscar,Roteiro,2023,Everything Everywhere All at Once,,Dan Kwan; Daniel Scheinert,N,S
oscar,Roteiro,2023,Women Talking,,Sarah Polley,N,S
oscar,Roteiro,2022,Belfast,,Kenneth Branagh,N,S
oscar,Roteiro,2022,CODA,,Siân Héder,N,S
oscar,Roteiro,2021,Promising Young Woman,,Emerald Fennell,N,S
oscar,Roteiro,2021,The Father,,Christopher Hampton; Florian Zeller,N,S
oscar,Roteiro,2020,Jojo Rabbit,,Taika Waititi,N,S
oscar,Roteiro,2020,Parasite,,Han Jin-won; Bong Joon-ho,N,S
oscar,Roteiro,2019,BlacKkKlansman,,Spike Lee; Charlie Wachtel; David Rabinowitz; Kevin Willmott,N,S
oscar,Roteiro,2019,Green Book,,Peter Farrelly; Nick Vallelonga; Brian Currie,N,S
oscar,Roteiro,2018,Call Me by Your Name,,James Ivory,N,S
oscar,Roteiro,2018,Get Out,,Jordan Peele,N,S
oscar,Roteiro,2017,Manchester by the Sea,,Kenneth Lonergan,N,S
oscar,Roteiro,2017,Moonlight,,Tarell Alvin McCraney; Barry Jenkins,N,S
oscar,Roteiro,2016,Spotlight,,Josh Singer; Tom McCarthy,N,S
oscar,Roteiro,2016,The Big Short,,Charles Randolph; Adam McKay,N,S
oscar,Roteiro,2015,Birdman,,Alejandro González Iñárritu; Nicolás Giacobone; Armando Bó; Alexander Dinelaris Jr.,N,S
oscar,Roteiro,2015,The Imitation Game,,Graham Moore,N,S
oscar,Roteiro,2014,12 Years a Slave,,John Ridley,N,S
oscar,Roteiro,2014,Her,,Spike Jonze,N,S
oscar,Roteiro,2013,Argo,,Chris Terrio,N,S
oscar,Roteiro,2013,Django Unchained,,Quentin Tarantino,N,S
oscar,Roteiro,2012,Midnight in Paris,,Woody Allen,N,S
oscar,Roteiro,2012,The Descendants,,Nat Faxon; Alexander Payne; Jim Rash,N,S
oscar,Roteiro,2011,The King's Speech,,David Seidler,N,S
oscar,Roteiro,2011,The Social Network,,Aaron Sorkin,N,S
oscar,Roteiro,2010,Precious,,Geoffrey S. Fletcher,N,S
oscar,Roteiro,2010,The Hurt Locker,,Mark Boal,N,S
oscar,Roteiro,2009,Milk,,Dustin Lance Black,N,S
oscar,Roteiro,2009,Slumdog Millionaire,,Simon Beaufoy,N,S
oscar,Roteiro,2008,Juno,,Diablo Cody,N,S
oscar,Roteiro,2008,No Country for Old Men,,Joel Coen; Ethan Coen,N,S
oscar,Roteiro,2007,Little Miss Sunshine,,Michael Arndt,N,S
oscar,Roteiro,2007,The Departed,,William Monahan,N,S
oscar,Roteiro,2006,Brokeback Mountain,,Diana Ossana; Larry McMurtry,N,S
oscar,Roteiro,2006,Crash,,Paul Haggis; Robert Moresco,N,S
oscar,Roteiro,2005,Eternal Sunshine of the Spotless Mind,,Charlie Kaufman; Michel Gondry; Pierre Bismuth,N,S
oscar,Roteiro,2005,Sideways,,Jim Taylor; Alexander Payne,N,S
